"STATION","NAME","DATE","PRCP","SNOW"
"US1IAPK0109","ALTOONA 1.3 ESE, IA US","2021-01","0.10",
"US1IAPK0037","WINDSOR HEIGHTS 0.8 SE, IA US","2021-01","1.30","17.2"
"US1IAPK0068","CLIVE 1.2 E, IA US","2021-01","1.30","17.9"
"US1IAPK0003","DES MOINES 4.5 WNW, IA US","2021-01","0.83","22.0"
"US1IAPK0014","ANKENY 2.3 WNW, IA US","2021-01","1.44",
"US1IAPK0036","MADRID 6.4 S, IA US","2021-01","1.22","16.6"
"US1IAPK0088","DES MOINES 5.4 WNW, IA US","2021-01","1.16","14.7"
"US1IAPK0089","ANKENY 3.7 NNE, IA US","2021-01","2.19","21.5"
"US1IAPK0097","ANKENY 1.5 NNE, IA US","2021-01","1.11","16.2"
"US1IAPK0021","JOHNSTON 3.7 NNW, IA US","2021-01","1.17","20.0"
"US1IAPK0098","DES MOINES 5.3 NW, IA US","2021-01","1.41",
"US1IAPK0073","DES MOINES 4.1 N, IA US","2021-01","1.27",
"US1IAPK0095","DES MOINES 3.7 NW, IA US","2021-01","0.93","14.4"
"US1IAPK0083","ALTOONA 1.5 SSE, IA US","2021-01","1.42","18.0"
"USC00132209","DES MOINES WSFO JOHNSTON, IA US","2021-01","1.17","20.1"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2021-01","1.26","20.4"
"USC00132201","DES MOINES SNOW, IA US","2021-01","1.37","20.4"
"USC00130241","ANKENY, IA US","2021-01","1.30","18.0"
